source_id,source_type,path_or_url,hash_algorithm,hash,commit_or_version,recorded_at,notes
za-audit-pypsa-rsa-discovery-sweep-csv,generated-file,data/za_audit/pypsa_rsa_discovery_sweep.csv,sha256,31fc7e86be567b8524eb3bbc21bbcb250870ec75ffd8ef2e9fac702bf92cb154,,2026-05-08 13:19 CEST,module 04 discovery sweep ≥10KB
za-audit-powerplants-pm-za-full-csv,generated-file,data/za_audit/powerplants_pm_za_full.csv,sha256,eaa77c38f72f6f527db68891877d77a4b72312482c60844b0c06dc80aaf54d57,,2026-05-08 13:19 CEST,module 04 ppm full ZA extraction
za-audit-powerplants-pm-za-audit-csv,generated-file,data/za_audit/powerplants_pm_za_audit.csv,sha256,772fa8bb889a3cdd197c0350f079485f024df2f747e8a078da86c1f792cd0f33,,2026-05-08 13:19 CEST,module 04 ppm audit subset
za-audit-pypsa-rsa-scenario-workbook-inventory-csv,generated-file,data/za_audit/pypsa_rsa_scenario_workbook_inventory.csv,sha256,c70b12cb6e98b580afd7692cac9635028fa96cb7b282eafa60c832cdde85ee17,,2026-05-08 13:19 CEST,module 04 ME IRP + Coal Flex workbook inventory
za-audit-pypsa-rsa-fixed-technologies-2023-candidates-csv,generated-file,data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv,sha256,81c19dce89803c375e1616323ffd86c999c87a085e3a98b3ff34de74ec8e5d03,,2026-05-08 13:19 CEST,module 04 fleet 2023 candidates with included_2023 flag
za-audit-reipppp-solar-2023-candidates-csv,generated-file,data/za_audit/reipppp_solar_2023_candidates.csv,sha256,9833b61ab47a8cc58aa3202b4b83af96b67bb371c7b7c479540d4a90a2c4c2c3,,2026-05-08 13:19 CEST,module 04 REIPPPP solar candidates
za-audit-reipppp-wind-2023-candidates-csv,generated-file,data/za_audit/reipppp_wind_2023_candidates.csv,sha256,7ba1fdb00b89234019c53f6fb7297ca5fb09f8ed532747619e78f826b9c919d6,,2026-05-08 13:19 CEST,module 04 REIPPPP wind candidates
za-audit-pypsa-rsa-availability-audit-csv,generated-file,data/za_audit/pypsa_rsa_availability_audit.csv,sha256,2b9695d752d669be03394a59661a96ce7e8a70447477eda6f3d33298c50b59de,,2026-05-08 13:19 CEST,module 04 plant availability
za-audit-pypsa-rsa-operational-constraints-audit-csv,generated-file,data/za_audit/pypsa_rsa_operational_constraints_audit.csv,sha256,05e4497d7318ca3d01437d5f01244cc18b55233f54d489fc102b4b8afa235948,,2026-05-08 13:19 CEST,module 04 operational constraints
za-audit-pypsa-rsa-reserve-margin-audit-csv,generated-file,data/za_audit/pypsa_rsa_reserve_margin_audit.csv,sha256,e37b1299e3894fbb6dad95360903a1213d3bdc4bdb5ea2871464598e006c4216,,2026-05-08 13:19 CEST,module 04 reserve margin
za-audit-pypsa-rsa-eskom-pu-profiles-audit-csv,generated-file,data/za_audit/pypsa_rsa_eskom_pu_profiles_audit.csv,sha256,434cf2e5592d43cf9240ab152fd20ea3cd596dab3211d55987ce9824dfcd0a83,,2026-05-08 13:19 CEST,module 04 Eskom pu profiles audit
za-audit-pypsa-rsa-cost-fuel-emissions-audit-csv,generated-file,data/za_audit/pypsa_rsa_cost_fuel_emissions_audit.csv,sha256,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,2026-05-08 13:19 CEST,module 04 cost/fuel/emissions audit
za-audit-pypsa-rsa-load-weight-audit-csv,generated-file,data/za_audit/pypsa_rsa_load_weight_audit.csv,sha256,062ebea9897af3499735cf0286ed1c3fb4e0421541006594af67303f319c3e8c,,2026-05-08 13:19 CEST,module 04 GVA/POP weight audit + Mesozones traversal
za-audit-pypsa-rsa-external-bundle-inventory-csv,generated-file,data/za_audit/pypsa_rsa_external_bundle_inventory.csv,sha256,610b45c3dfeb60d1ae8b511b8628fcf7e79fcdd2817d1cb7d9de9cc868f62da4,,2026-05-08 13:19 CEST,module 04 external bundle inventory
za-audit-za-rsa-supply-regions-geojson,generated-file,data/za_audit/za_rsa_supply_regions.geojson,sha256,c78b161c06ff3bc67a0cbc0b6275ca6f8788411cb3bdfe91e51c53fcdee63de9,,2026-05-08 13:19 CEST,module 04 supply regions canonical 27-layer GeoJSON
za-audit-za-rsa-supply-region-layer-resolution-csv,generated-file,data/za_audit/za_rsa_supply_region_layer_resolution.csv,sha256,6c5bd083a658fd84aaae4ed1fad78ff76ab8359bb18fad97ac3b96689842f28b,,2026-05-08 13:19 CEST,module 04 1/10/27/34/159 layer resolution match
za-audit-za-rsa-existing-lines-220kv-plus-geojson,generated-file,data/za_audit/za_rsa_existing_lines_220kv_plus.geojson,sha256,4fb775abd47ed5e94bda1de4c4070d38a3f7bbe1f2c44db0a1e09834cbe58eaa,,2026-05-08 13:19 CEST,module 04 existing lines >=220kV GeoJSON
za-audit-za-rsa-planned-tdp-lines-geojson,generated-file,data/za_audit/za_rsa_planned_tdp_lines.geojson,sha256,1fcd8a607bad7790b264d7882ef103e7e8a096e19f142f3c85cd0c2b81d74375,,2026-05-08 13:19 CEST,module 04 planned TDP corridors GeoJSON
za-audit-za-rsa-supply-area-connection-limits-csv,generated-file,data/za_audit/za_rsa_supply_area_connection_limits.csv,sha256,a5f1ec2c36bbf26aecb51cdec900c2bc87cd2bc687974c9ed40a9c48a41fdc00,,2026-05-08 13:19 CEST,module 04 supply area CLN limits
za-audit-za-rsa-mts-hosting-limits-csv,generated-file,data/za_audit/za_rsa_mts_hosting_limits.csv,sha256,19d94b53a5fdc0b31282271607f6f8acd0035849d4de5a73d34efafc69784c3c,,2026-05-08 13:19 CEST,module 04 MTS hosting limits
za-audit-pypsa-rsa-transmission-expansion-audit-csv,generated-file,data/za_audit/pypsa_rsa_transmission_expansion_audit.csv,sha256,15cc37299e73f4d4a353f847281857d24a83b13408ba6b7a3de3780dc193fbbc,,2026-05-08 13:19 CEST,module 04 transmission expansion candidate evidence
za-audit-pypsa-rsa-resource-siting-audit-csv,generated-file,data/za_audit/pypsa_rsa_resource_siting_audit.csv,sha256,537e57a9a7280bd76fdbde3027b3b90398c3bfca662e2a5f38ec0e9cc2bccf74,,2026-05-08 13:19 CEST,module 04 resource siting evidence
za-source-audit-notebook,generated-file,notebooks/za_validation/04_source_audits/source_audit_overview.ipynb,sha256,59e2fd8c17be1e4e502d93313a5f24a0a31a417b82bbc6624ff36a2ece45896f,,2026-05-08 13:22 CEST,module 04 audit overview notebook
za-source-audit-html,generated-file,doc/za_validation/figures/04_source_audits/source_audit_overview.html,sha256,d91a038ea827d846f43349845c64474243c6d5b508c267b2a0bca954fe7aae08,,2026-05-08 13:22 CEST,module 04 executed audit notebook HTML export
za-source-audit-grid-png,generated-file,doc/za_validation/figures/04_source_audits/grid_overview.png,sha256,0f28ee8de48e79c8e2903a67e1eceab849ee6ee751037123b4344f50ff13c5b8,,2026-05-08 13:22 CEST,module 04 supply regions + lines + TDP overview map
za-source-audit-script,script,scripts/build_za_source_audits.py,sha256,3d657b22d5d5c4b6e8e6e733b7e7fbe40e6f95bab9017de1f1347706f625db1a,,2026-05-08 13:22 CEST,module 04 master audit script
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b52a1774a0212f37c5917a74bed5aa9fb49f53de731f72d9f6c608a87f61c542,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,93ee3be57b9d50307ec414cf6170795afb198d0004f44a9e36d806d2c2e8efeb,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,93ee3be57b9d50307ec414cf6170795afb198d0004f44a9e36d806d2c2e8efeb,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-08 16:08 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-08 16:09 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-08 16:09 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-08 16:09 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-08 16:09 local,Module 05 carrier taxonomy artifact
za-demand-import-export-notebook,notebook,notebooks/za_validation/06_demand_import_export/demand_import_export_overview.ipynb,sha256,c61c6f1ed1b5cf8d471fcd65fd9783f8813598907c5e5af5726aa84d6310865e,,2026-05-08 16:40 local,Module 06 validation notebook
za-demand-import-export-html,html,doc/za_validation/figures/06_demand_import_export/demand_import_export_overview.html,sha256,d3171aba589232465761c063ba5562e7292b26370dbcdb197272b1cda5cfc157,,2026-05-08 16:40 local,Module 06 executed notebook HTML export
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-11 12:33 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-11 12:33 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-11 12:33 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-11 12:33 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-11 12:34 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-11 12:34 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-11 12:34 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-11 12:34 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-11 13:07 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-11 13:07 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-11 13:07 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-11 13:07 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-11 17:28 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-11 17:28 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-11 17:28 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-11 17:28 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-11 17:36 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-11 17:36 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-11 17:36 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-11 17:36 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,6df50b77665f79f7b740931030f895ca5368219176aaed3e7a81f145a7abfb1a,,2026-05-11 17:40 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-11 17:40 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-11 17:40 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-11 17:40 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,c90ad64e5d9778415e4f317a5d62d86736e5f714643ad851dd125c7efceb8f3a,,2026-05-12 15:55 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,b4e5253f5d7ebee62af1ba60a8699844e0e274e60a1dd45a3feb758603651b79,,2026-05-12 15:55 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-12 15:55 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-12 15:55 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,19ec50de3e00c2ebfdd5cc5b96b3d85df2714d46b05571ac0e75db14c6f5f0d3,,2026-05-12 16:01 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,0648ff62051e9f87b0968073018b72bf90415e94994a739e1130ea581bfb072f,,2026-05-12 16:01 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-12 16:01 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-12 16:01 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,19ec50de3e00c2ebfdd5cc5b96b3d85df2714d46b05571ac0e75db14c6f5f0d3,,2026-05-12 19:58 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,0648ff62051e9f87b0968073018b72bf90415e94994a739e1130ea581bfb072f,,2026-05-12 19:58 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,d38790645475bdb9c1f246e5978701adf74349fc689cdaa15e50895a5d4c6418,,2026-05-12 19:58 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-12 19:58 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,19ec50de3e00c2ebfdd5cc5b96b3d85df2714d46b05571ac0e75db14c6f5f0d3,,2026-05-13 01:05 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,0648ff62051e9f87b0968073018b72bf90415e94994a739e1130ea581bfb072f,,2026-05-13 01:05 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,53ccc64edf6819876121046d91a03e3d1cf61a6bd3c23298e739a69eaab3ba2f,,2026-05-13 01:05 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-13 01:05 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-csv,csv,data/za_audit/za_carrier_taxonomy.csv,sha256,19ec50de3e00c2ebfdd5cc5b96b3d85df2714d46b05571ac0e75db14c6f5f0d3,,2026-05-13 01:41 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-crosscheck,csv,data/za_audit/za_carrier_taxonomy_crosscheck.csv,sha256,0648ff62051e9f87b0968073018b72bf90415e94994a739e1130ea581bfb072f,,2026-05-13 01:41 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-doc,markdown,doc/za_carrier_taxonomy.md,sha256,53ccc64edf6819876121046d91a03e3d1cf61a6bd3c23298e739a69eaab3ba2f,,2026-05-13 01:41 local,Module 05 carrier taxonomy artifact
za-carrier-taxonomy-smoke,python,scripts/za_validation/smoke_carrier_taxonomy.py,sha256,63f354b9285ef82b6ba2cb8f886380c4aee47627b0ecffcee7ed7bcded15e109,,2026-05-13 01:41 local,Module 05 carrier taxonomy artifact
za-validation-build-script,python,scripts/za_validation/build_module13_validation.py,sha256,75a910826900f9a1aa29fcdceb0c2e9cac449d9a2aabb9a67ed230bd8b630479,,2026-05-13 15:12 UTC,Module 13 validation evidence builder
za-validation-annual,csv,data/za_validation/za_2023_validation_annual.csv,sha256,ab16fdb598a4e5b05d86a934acf365820e3fdca4ffa73a21d061085a7f0fcdba,,2026-05-13 15:12 UTC,Module 13 annual validation
za-validation-monthly,csv,data/za_validation/za_2023_validation_monthly.csv,sha256,c7d56222bb1a1163d886255a61298eab27630a4d38916b95e15730b14da63efe,,2026-05-13 15:12 UTC,Module 13 monthly validation
za-validation-hourly-metrics,csv,data/za_validation/za_2023_validation_hourly_metrics.csv,sha256,cf065068a9f691b641cd5d993f457e92c60880f357f34b983b68f7b0bccca88a,,2026-05-13 15:12 UTC,Module 13 hourly metrics
za-validation-capacity,csv,data/za_validation/za_2023_validation_capacity.csv,sha256,55e7b5ef382c3f6272a9e231067f473d2ee623087b1d41e5c0b7759f2aea12e9,,2026-05-13 15:12 UTC,Module 13 capacity validation
za-validation-load-shedding,csv,data/za_validation/za_2023_load_shedding_validation.csv,sha256,4dfdf016b15441b0fe5ae149cf46022b30bf3f2470225f8491b851b086d9a949,,2026-05-13 15:12 UTC,Module 13 load-shedding validation
za-validation-secondary-sources,csv,data/za_validation/za_2023_validation_secondary_sources.csv,sha256,7d204b47bbbaec08e1cf210a088c6af703d106a0961136f6cac1a1a4566bdc54,,2026-05-13 15:12 UTC,Module 13 secondary plausibility deltas
za-validation-irena-harmonization,csv,data/za_validation/za_2023_irena_carrier_harmonization.csv,sha256,b3be9c1c538e67fcc78c274283d25aa6993389e1364c0229ac4ddeff5a6113bb,,2026-05-13 15:12 UTC,Module 13 IRENA harmonization
za-validation-uncalibrated-vs-calibrated,csv,data/za_validation/za_2023_uncalibrated_vs_calibrated.csv,sha256,23d5e9572681a0e192c9d8ceb9714fcb5f5775c0e33037045c4991135f7c662f,,2026-05-13 15:12 UTC,Module 13 before/after
za-validation-plant-identity,csv,data/za_validation/za_2023_validation_plant_identity.csv,sha256,3b24c2a04164e261c68a9fb19aaff80d0e3951db9b62cf1bc168c8fdf6a5df6e,,2026-05-13 15:12 UTC,Module 13 plant identity
